100.0,56.0,11.0,7.0,-8,-1
698.0,402.0,4.0,3.0,344,1
649.0,468.0,13.0,7.0,400,1
63.0,165.0,-8.0,-3.0,112,-1
450.0,247.0,9.0,-5.0,256,-1
133.0,143.0,6.0,-3.0,112,-1
110.0,472.0,-5.0,4.0,408,1
18.0,51.0,-5.0,3.0,-8,-1
352.0,235.0,8.0,2.0,144,-1
758.0,12.0,7.0,1.0,-8,-1
454.0,426.0,4.0,3.0,152,1
581.0,365.0,9.0,-1.0,352,1
441.0,396.0,5.0,3.0,352,1
246.0,293.0,7.0,-2.0,296,1
37.0,438.0,-8.0,-1.0,400,1
299.0,347.0,-11.0,-5.0,352,-1
153.0,323.0,-6.0,3.0,280,1
165.0,100.0,11.0,7.0,48,1
719.0,423.0,4.0,3.0,392,1
730.0,468.0,13.0,-7.0,408,1
48.0,144.0,9.0,-4.0,160,1
502.0,217.0,9.0,-5.0,208,-1
171.0,125.0,6.0,-3.0,64,-1
82.0,484.0,-5.0,-4.0,408,1
384.0,411.0,-4.0,-3.0,48,1
399.0,248.0,8.0,2.0,192,1
743.0,23.0,-7.0,4.0,-8,-1
477.0,445.0,4.0,3.0,200,1
635.0,357.0,9.0,-1.0,304,-1
472.0,415.0,5.0,3.0,304,-1
286.0,279.0,7.0,-2.0,248,-1
73.0,429.0,9.0,-2.0,352,-1
233.0,317.0,-11.0,-5.0,304,-1
115.0,343.0,-6.0,3.0,248,-1
229.0,144.0,11.0,7.0,96,1
741.0,443.0,4.0,3.0,344,-1
723.0,442.0,-16.0,-2.0,408,1
103.0,121.0,9.0,-4.0,112,-1
554.0,187.0,9.0,-5.0,160,-1
209.0,107.0,6.0,-3.0,112,1
54.0,462.0,-5.0,-4.0,408,1
360.0,393.0,-4.0,-3.0,96,1
445.0,262.0,8.0,2.0,240,1
700.0,45.0,-7.0,4.0,-8,-1
500.0,464.0,4.0,3.0,248,1
688.0,350.0,9.0,-1.0,352,1
503.0,433.0,5.0,3.0,352,1
325.0,264.0,7.0,-2.0,200,-1
126.0,418.0,9.0,-2.0,400,1
167.0,288.0,-11.0,-5.0,256,-1
78.0,362.0,-6.0,3.0,280,1
294.0,187.0,11.0,7.0,48,-1
762.0,464.0,4.0,3.0,392,1
628.0,428.0,-16.0,-2.0,352,-1
158.0,97.0,9.0,-4.0,64,-1
606.0,157.0,9.0,-5.0,112,-1
247.0,90.0,6.0,-3.0,64,-1
37.0,442.0,7.0,-1.0,408,1
336.0,376.0,-4.0,-3.0,144,1
491.0,275.0,8.0,2.0,192,-1
658.0,66.0,-7.0,4.0,48,1
523.0,483.0,4.0,3.0,296,1
742.0,342.0,9.0,-1.0,304,-1
534.0,452.0,5.0,3.0,400,1
365.0,250.0,7.0,-2.0,248,1
179.0,408.0,9.0,-2.0,352,-1
101.0,259.0,-11.0,-5.0,208,-1
40.0,381.0,-6.0,3.0,328,1
358.0,231.0,11.0,7.0,96,1
746.0,476.0,-6.0,1.0,408,1
533.0,414.0,-16.0,-2.0,400,1
213.0,73.0,9.0,-4.0,16,-1
658.0,127.0,9.0,-5.0,64,-1
285.0,72.0,6.0,-3.0,16,-1
79.0,438.0,7.0,-1.0,352,-1
311.0,358.0,-4.0,-3.0,192,1
537.0,289.0,8.0,2.0,240,1
615.0,88.0,-7.0,4.0,0,-1
549.0,472.0,4.0,-3.0,352,1
739.0,343.0,-10.0,1.0,256,-1
565.0,470.0,5.0,3.0,408,1
404.0,236.0,7.0,-2.0,200,-1
232.0,397.0,9.0,-2.0,400,1
36.0,230.0,-11.0,-5.0,256,1
56.0,372.0,7.0,-4.0,376,1
423.0,275.0,11.0,7.0,144,1
711.0,484.0,-6.0,1.0,408,1
438.0,400.0,-16.0,-2.0,352,-1
