1723,17,19,17,14,down,down,"[{""positionX"": 17, ""positionY"": 10}, {""positionX"": 17, ""positionY"": 11}, {""positionX"": 17, ""positionY"": 12}, {""positionX"": 17, ""positionY"": 13}]"
1724,17,19,17,15,down,down,"[{""positionX"": 17, ""positionY"": 11}, {""positionX"": 17, ""positionY"": 12}, {""positionX"": 17, ""positionY"": 13}, {""positionX"": 17, ""positionY"": 14}]"
1725,17,19,17,16,down,down,"[{""positionX"": 17, ""positionY"": 12}, {""positionX"": 17, ""positionY"": 13}, {""positionX"": 17, ""positionY"": 14}, {""positionX"": 17, ""positionY"": 15}]"
1726,17,19,17,17,down,down,"[{""positionX"": 17, ""positionY"": 13}, {""positionX"": 17, ""positionY"": 14}, {""positionX"": 17, ""positionY"": 15}, {""positionX"": 17, ""positionY"": 16}]"
1727,17,19,17,18,down,down,"[{""positionX"": 17, ""positionY"": 14}, {""positionX"": 17, ""positionY"": 15}, {""positionX"": 17, ""positionY"": 16}, {""positionX"": 17, ""positionY"": 17}]"
1728,17,19,17,19,down,down,"[{""positionX"": 17, ""positionY"": 15}, {""positionX"": 17, ""positionY"": 16}, {""positionX"": 17, ""positionY"": 17}, {""positionX"": 17, ""positionY"": 18}]"
1729,9,8,16,19,down,left,"[{""positionX"": 17, ""positionY"": 16}, {""positionX"": 17, ""positionY"": 17}, {""positionX"": 17, ""positionY"": 18}, {""positionX"": 17, ""positionY"": 19}]"
1730,9,8,15,19,left,left,"[{""positionX"": 17, ""positionY"": 16}, {""positionX"": 17, ""positionY"": 17}, {""positionX"": 17, ""positionY"": 18}, {""positionX"": 17, ""positionY"": 19}, {""positionX"": 16, ""positionY"": 19}]"
1731,9,8,14,19,left,left,"[{""positionX"": 17, ""positionY"": 17}, {""positionX"": 17, ""positionY"": 18}, {""positionX"": 17, ""positionY"": 19}, {""positionX"": 16, ""positionY"": 19}, {""positionX"": 15, ""positionY"": 19}]"
1732,9,8,13,19,left,left,"[{""positionX"": 17, ""positionY"": 18}, {""positionX"": 17, ""positionY"": 19}, {""positionX"": 16, ""positionY"": 19}, {""positionX"": 15, ""positionY"": 19}, {""positionX"": 14, ""positionY"": 19}]"
1733,9,8,12,19,left,left,"[{""positionX"": 17, ""positionY"": 19}, {""positionX"": 16, ""positionY"": 19}, {""positionX"": 15, ""positionY"": 19}, {""positionX"": 14, ""positionY"": 19}, {""positionX"": 13, ""positionY"": 19}]"
1734,9,8,11,19,left,left,"[{""positionX"": 16, ""positionY"": 19}, {""positionX"": 15, ""positionY"": 19}, {""positionX"": 14, ""positionY"": 19}, {""positionX"": 13, ""positionY"": 19}, {""positionX"": 12, ""positionY"": 19}]"
1735,9,8,10,19,left,left,"[{""positionX"": 15, ""positionY"": 19}, {""positionX"": 14, ""positionY"": 19}, {""positionX"": 13, ""positionY"": 19}, {""positionX"": 12, ""positionY"": 19}, {""positionX"": 11, ""positionY"": 19}]"
1736,9,8,9,19,left,left,"[{""positionX"": 14, ""positionY"": 19}, {""positionX"": 13, ""positionY"": 19}, {""positionX"": 12, ""positionY"": 19}, {""positionX"": 11, ""positionY"": 19}, {""positionX"": 10, ""positionY"": 19}]"
1737,9,8,8,19,left,left,"[{""positionX"": 13, ""positionY"": 19}, {""positionX"": 12, ""positionY"": 19}, {""positionX"": 11, ""positionY"": 19}, {""positionX"": 10, ""positionY"": 19}, {""positionX"": 9, ""positionY"": 19}]"
